,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
955,Public Relations Executive,GIECO -,"Alexandria, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_preferred,Marketing/PR/Advertising,Marketing,Communication,Public Relations (PR),social,PR"
956,Credit Underwriter Officer,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"Accounting/Finance,Banking,Customer Service/Support,Accounting,Finance,Credit Risk,Retail,Credit"
957,Senior Quality Assurance Engineer,Multi M Group  -,"khanka, Qalubia, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Manufacturing/Production,Quality,Auditing,Engineering,Quality Management,Quality Assurance,quality,Management,ISO 9001,ISO 14001"
958,Sales Representative,GB Corp -,"Aswan, Aswan, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Sales/Retail,Engineering - Mechanical/Electrical,Sales,Automotive"
959,Senior/ Junior Light Current site Engineer,Johnson Controls -,"Nasr City, Cairo, Egypt ",Full Time,Senior Management,3 - 6 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Engineering,Control,CCTV,Light Current,Access Control"
960,Contracts Team Leader,GTCI Constructors  -,"Heliopolis, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Project/Program Management,Purchasing/Procurement,Procurement,Materials,Cost Reduction,Construction,Communication,Engineering,Cost"
961,Recruitment Specialist (2 Months Internship),RISEUP (Endemag for Administrative Skills Development) -,"Sheikh Zayed, Giza, Egypt ",Internship,Entry Level,0 - 1 Yrs of Exp,"Human Resources,English,Communication,Human Resources (HR),Microsoft Office,Recruitment,Personnel,Skills"
962,Electrical Engineer,Nexus Analytica -,"Shorouk City, Cairo, Egypt ",Full Time,Entry Level,Engineering - Mechanical/Electrical,"Engineering - Other,Electrical Engineering,power engineering"
963,German Recruiter,RISEUP (Endemag for Administrative Skills Development) -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Human Resources,HR,Human Resources (HR),german,Interviewing,Recruiting,Recruitment,Screening,Selection"
964,GL Accountant,BDO Esnad -,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,ERP systems,Accounting,SAP"
965,Human Resources Generalist,Amplifon Middle East -,"Heliopolis, Cairo, Egypt ",Freelance / Project,Entry Level,1 - 3 Yrs of Exp,"Human Resources,Administration,Human Resources (HR),Human Resources,Personnel"
966,Recruitment & OD Specialist,AluNile -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"Human Resources,Recruitment,OD,Talent acquisition,HR Specialist,Recruiter"
967,Sales Account Manager ( B2B),Firoz Group -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Sales/Retail,Sales,Sales Skills,Sales Target,Account Management,English,Engineering,Hotels,Hospitals,Restaurants"
968,Sales Teamleader,Unit X  -,"Sheikh Zayed, Giza, Egypt ",Full Time,Manager,2 - 5 Yrs of Exp,"Operations/Management,Sales/Retail,Real Estate,Sales,sales skills,Sales Target,Management,English"
969,Senior UI UX Developer,Salem Ventures -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"Creative/Design/Art,IT/Software Development,Engineering - Telecom/Technology,Adobe illustrator,Computer Science,illustrator,Information Technology (IT),InVision,Software,Design"
970,Stock Market Journalism Internship,Geek Labs -,"Maadi, Cairo, Egypt ",Internship,Entry Level,Writing/Editorial,"Analyst/Research,English,Finance,Writing,Stock Market,Research,Economics,capital markets,Stock Markets"
971,Senior Business Developer,KB Architects  -,"Maadi, Cairo, Egypt ",Full Time,Experienced,8 - 10 Yrs of Exp,"Business Development,B2B,B2B Sales,Business Development,Communication,Experience,Sales,English,business"
972,Cloud Developer,Nahdet Misr Publishing Group -,"Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development,Information Technology (IT),SAP"
973,System Expert,Transmar International  -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development,Information Technology (IT),Computer Science"
974,Real Estate property consultant,Conline -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"Business Development,Customer Service/Support,Sales/Retail,Negotiation,Experience,Real Estate Agent,Sales,Resale,Sales Target,Skills"
975,Senior Electrical Quantity Surveying Engineer,Confidential -,"Dokki, Giza, Egypt ",Full Time,Senior Management,7 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,Communication skills,Engineering,Management,English,Electrical Engineering,Technical Office,quantity Survey,Electrical"
976,Senior Quantity Engineer,Elaraby Group -,"Cairo, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture,architectural,CAD,Engineering,Auto cad,Civil Engineering,Quantity engineer"
977,Senior Architectural Engineer,Elaraby Group -,"Cairo, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture,AutoCAD,Technical Office Engineering,Architectural Engineering,Engineering,CAD,PMP"
978,Sales Marketing Executive,B2B LOGISTICS SERVICES -,"Alexandria, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Sales/Retail,CRM,Sales,Logistics,Marketing"
979,Odoo implementer,Sharp 4 IT -,"Mokattam, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"IT/Software Development,Odoo,ERP,Information Technology (IT),Business Processes,Computer Science,ERP System,ERP Software"
980,Aluminum Estimator Engineer,Alu Afric for Aluminum industry and trading -,"Abu Rawash, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Engineering - Other,Aluminum,engineer,Drawings,Construction,Cost Estimation,Project,Skills,Engineering,Civil Engineering"
981,New Products Senior Business Development,Confidential -,"New Nozha, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"R&D/Science,Business Development,Manufacturing/Production,Business Development,English,Communication,Leadership skills,MBA,Product,Management"
982,Electrical Engineers,Spectrum Engineering  -,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Engineering - Construction/Civil/Architecture,MS Office,AutoCAD,Rivet"
983,Sales Specialist,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"males_only,Customer Service/Support,Operations/Management,Manufacturing/Production,Sales Target,Sales,Business Administration,negotiation skills,Microsoft Office,SAP,Goal-setting"
984,Senior Marketing executive,Tayseer Chemicals  -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Marketing/PR/Advertising,Media/Journalism/Publishing,E-Marketing,Digital,Digital Marketing,Social Media,senior,Marketing,Marketing agency,Agency"
985,Marketing Manager,RAEJ -,"Bolkly, Alexandria, Egypt ",Full Time,Manager,8 - 12 Yrs of Exp,"males_only,Business Development,Marketing/PR/Advertising,Media/Journalism/Publishing,Digital Marketing,Marketing,Social Media,Digital,Communication"
986,Purchasing Manager,Al Omaraa Group for Ceramic and Porcelain Production -,"10th of Ramadan City, Cairo, Egypt ",Full Time,Manager,10+ Yrs of Exp,"Logistics/Supply Chain,Operations/Management,Purchasing/Procurement,Business Administration,Logistics,Management,Negotiation,Procurement,Purchasing,Supply"
987,Export Sales Specialist,DELUXE -,"Mahta Alraml, Alexandria, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Sales/Retail,Export,Negotiation,negotiation skills,English,Sales,sales skills,Communication,excel"
988,Mechanical Tendering Engineer,Saudi-firmness -,"Katameya, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,estimation,Mechanical Engineering,Mechanical,Projects,Construction Engineering"
989,Senior Sales Representative (Real Estate - New Capital),Confidential -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Customer Service/Support,Sales/Retail,Real Estate,Sales,Sales Target,business,CRM,Negotiation,Business Administration,Communication"
990,Corporate Sales Representative (Giza),Selah ElTelmeez For Publishing & printing -,"Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Business Development,sales skills,Sales Target,B2B,negotiation skills,Communication skills,Microsoft Office,Customer Service,English,Sales"
991,Contract Engineer,Cred Developments -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Contracting,Engineering,Contract"
992,Senior Quantity Surveying Engineer,Bainona Engineering Company  -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,6 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Cost,Construction,Quantity Surveying"
993,Software Developer – Mobile Cross Platform,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,"Other,Software Development,Mobile Development,Mobile Application Development"
994,Accountant,Fama technologies  -,"Maadi, Cairo, Egypt ",Full Time,Entry Level,3 - 5 Yrs of Exp,"Accounting/Finance,Accounting,excel,Finance"
995,Commercial Director- Real estate,AKA Group  -,"Hurghada, Red Sea, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Business Development,Operations/Management,Sales/Retail,Administration,Budgeting,business,Business Administration,Commercial,Commercial Director,Finance"
996,Accounting Manager.,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Accounting/Finance,Operations/Management,Accounting,Accounting Manager,Finance,Financial Management,Manager"
997,Senior Organizational Development Specialist,Confidential -,"Cairo, Egypt ",Full Time,Entry Level,3 - 5 Yrs of Exp,"Human Resources,HR Diploma,Organization Development,HR"
998,"Branch Sales Supervisor- Damietta, Egypt.",Egyptian Abrasives Co. -,"Damietta, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Sales/Retail,Sales,sales skills,Sales Target,Outdoor Sales,Communication skills,Leadership"
999,Electrical Maintenance Engineer,New Energy EV -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 8 Yrs of Exp,"Engineering - Mechanical/Electrical,Electrical Engineering,engineer,Electrical,Electrical Maintenance,Maintenance,Maintenance Engineer"
1000,Sales Marketing Executive,New Energy EV -,"Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"females_preferred,Marketing/PR/Advertising,Sales/Retail,Executive,Sales Target,Marketing executive,Sales,sales skills,Marketing"
1001,Data Research Assistant,Puffin -,"Sheikh Zayed, Giza, Egypt ",Full Time,Entry Level,Administration,"Analyst/Research,Research,Internet Research,Data Entry,Computer Skills,Microsoft Office,Microsoft Excel"
1002,Electrical and Mechanical Technical Office Engineers- Low and Medium voltage studies,ARC Technologies -,"Abu Rawash, Giza, Egypt ",Full Time,Entry Level,3 - 6 Yrs of Exp,"Engineering - Mechanical/Electrical,Electrical,Communication,Engineering,English,Microsoft Office,technical,Technical Support,engineer"
1003,Accounting Manager,Egast -,"Bab Sharq, Alexandria, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"Accounting/Finance,Accounting,accounting data"
1004,Senior Electrical Sales Engineers - Low voltage and Medium voltage Solutions,ARC Technologies -,"Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Sales,Sales Target,sales skills,Management,Experience,Customer Service"
1005,senior Swift - Apple Developer- Urgent,IT-Gates -,"Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"IT/Software Development,Computer Science,Information Technology (IT),iOS,Swift,Apple"
1006,junior Native Android Developer (Kotlin) - Urgent,IT-Gates -,"Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"IT/Software Development,Android app,Computer Science,Engineering,Mobile Development,Software Development,Mobile,Development,Android,Software"
1007,Senior HR Generalist,Altawakol for Steel Fabrication & Galvanization -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Human Resources,Human Resources (HR),Recruitment,Training,HR,Payroll,Personnel,OD"
1008,Business Intelligence Assistant Manager,SAVOLA -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"IT/Software Development,Power BI,Business Intelligence,Business Applications,Computer Science,ERP,Oracle,SQL"
1009,Real estate,Elserag abc consultancy  -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Human Resources,Marketing/PR/Advertising,Real Estate,Google Ads,Experience,Ads,Sales Target,Social Media,Recruitment,HR Specialist"
1010,Senior Property Consultant - Sales Real Estate,New Plan  -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"Sales/Retail,Communication Skills,Sales,Sales Skills,Sales Target,Computer Skills,Real Estate,Customer Service,English,Communication"
1011,Senior Data Modeler,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Data Modeling,Data Architecture,SQL,Erwin,Data Warehousing,Data Management"
1012,QEHS Manager,Smart Glass Company -,"Fayoum, Egypt ",Full Time,Manager,5 - 12 Yrs of Exp,"Operations/Management,Quality,Engineering - Other,Quality Control,Quality Assurance,Quality Management,Quality Management System,Quality Auditing,ISO 9001,ISO 14001"
1013,QC Section Head,Smart Glass Company -,"Fayoum, Fayoum, Egypt ",Full Time,Experienced,3 - 10 Yrs of Exp,"Operations/Management,Manufacturing/Production,Quality,ISO 9001,ISO 9000,Glass,Quality Control"
1014,Marketing Manager,Egyptian Abrasives Co. -,"6th of October, Giza, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Marketing/PR/Advertising,Sales/Retail,Media/Journalism/Publishing,Market Research,Marketing,Research,Social Media,Communication skills,Brand Building,Marketing Research"
1015,SEO Specialist,Dakkaken -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 10 Yrs of Exp,"Writing/Editorial,Marketing/PR/Advertising,Search Engine,SEO,google,Analytics"
1016,Real Estate Senior Sales Specialist,vida -,"Sheikh Zayed, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Sales/Retail,Real Estate,Sales,Sales real estate"
1017,HR Generalist,ECRAL -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Human Resources,Administration,Microsoft Office,MS Office,Personnel,Recruitment,Human Resources (HR),business,OD,Computer Skills"
1018,Customer Accountant,El Mohandess Print House -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Accountant,Finance,ERP"
1019,Heavy Equipment Maintenance engineer,Confidential -,"Alexandria, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Installation/Maintenance/Repair,Operations/Management,Engineering - Mechanical/Electrical,Engineering,Mechanical,Mechanical Engineering,Maintenance,Heavy Equipment,equipment,English"
1020,Senior Accounts Payable,Confidential -,"6th of October, Giza, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,"Accounting/Finance,Accounting principles,Accounting,Accounts Payable,GAAP,Financial Accounting"
1021,Real Estate Sales Executive,Confidential -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"Sales/Retail,Sales,Sales Skills,Sales Target,Retail,Real Estate,Customer Service,CRM,Experience,Team Leadership"
1022,Project Manager,Youxel -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"IT/Software Development,Project/Program Management,Software Development,Software Engineering,PMP,Project Management,Microsoft Office,CMMI,Scrum,Agile"
1023,Operation Engineer,Mobi Egypt -,"Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Engineering - Oil & Gas/Energy,Operations,Refinery-Oil & Gas,Process Control Systems,Engineering"
1024,Sr. Talent Acquisition Specialist,New City Glass -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Human Resources,HR,Human Resources,Human Resources (HR),Interviewing,Recruitment,Talent acquisition,Talent management,Talent,HR Diploma"
1025,Clinical Supervisor,Your Life ABA -,"Alexandria, Egypt ",Full Time,Not specified,R&D/Science,"Medical/Healthcare,Sales/Retail,medical,health care,science,microsoft office,education,health,psychology"
1026,Librarian,TKH Student Group -,"Cairo, Egypt ",Full Time,Not specified,Administration,"Customer Service/Support,Education/Teaching,Administration,Admin,Education,Library,Microsoft Office,Teaching,Librarian"
1027,Product Marketing Manager,Raya Holding for Financial Investments -,"Cairo, Egypt ",Full Time,Not specified,Marketing/PR/Advertising,"Sales/Retail,Media/Journalism/Publishing,Marketing,Social Media,Market Research,E-marketing,Digital Marketing,Media,Sales"
1028,Quality Control Manager,Confidential -,"khanka, Qalubia, Egypt ",Full Time,Manager,7+ Yrs of Exp,"Manufacturing/Production,Quality,Engineering - Other,Quality,Quality Control,Quality Assurance,Engineering,Production,English,ISO"
1029,Application Development Supervisor,Xceed Contact Center -,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 5 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Software,Programming,SQL,Software Engineering,Software Development,Computer Science,Engineering,Python"
1030,Property Consultant,Go Green Real Estate -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,0 - 2 Yrs of Exp,"Business Development,Customer Service/Support,Sales/Retail,Real Estate,Sales,Real Estate Sales,Sales Plan,sales skills,Sales Target,Property"
1031,Senior Testing Engineer,PaxeraHealth -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Engineering - Telecom/Technology,Engineering - Mechanical/Electrical,Engineering,Information Technology (IT),Computer Science,Software Engineering,Software Development,Computer Engineering,Quality Control"
